date,death,totalTestResults
20200405,68,27436
20200405,3,8838
20200405,0,3237
20200404,5,6040
20200404,43,10853
20200404,14,10370
20200404,0,3
20200404,52,27160
20200404,276,113700
20200404,111,22071
20200404,165,22029
20200404,21,6438
20200404,14,6467
20200404,191,102067
20200404,201,26294
20200404,4,565
20200404,3,12278
20200404,14,10240
20200404,10,8870
20200404,243,53581
20200404,116,19800
20200404,21,7578
20200404,37,15572
20200404,409,58498
20200404,216,68800
20200404,53,25610
20200404,10,6544
20200404,540,53800
20200404,24,25423
20200404,24,24905
20200404,1,21
20200404,35,6588
20200404,5,6177
20200404,24,38773
20200404,3,6207
20200404,6,5379
20200404,7,7505
20200404,846,75356
20200404,10,15632
20200404,46,16163
20200404,3565,283621
20200404,102,41871
20200404,42,2521
20200404,26,17534
20200404,136,70030
20200404,18,3057
20200404,17,6390
20200404,40,18314
20200404,2,5224
20200404,43,41391
20200404,105,63751
20200404,8,28043
20200404,52,21552
20200404,,224
20200404,20,5844
20200404,345,83567
20200404,56,25971
20200404,2,7686
20200404,0,3132
20200403,3,6016
20200403,35,9619
20200403,12,9699
20200403,0,3
20200403,41,24673
20200403,237,35300
20200403,97,20411
20200403,131,20015
20200403,15,5584
20200403,14,5445
20200403,163,91722
20200403,184,25265
20200403,4,543
20200403,2,10491
20200403,11,9453
20200403,9,7945
20200403,210,48048
20200403,102,17835
20200403,17,7074
20200403,31,12804
20200403,370,53645
20200403,192,62962
20200403,42,23690
20200403,9,6520
20200403,479,48922
20200403,22,24227
20200403,19,21470
20200403,1,21
20200403,29,6111
20200403,5,5576
20200403,19,31598
20200403,3,5798
20200403,6,4766
20200403,5,7054
20200403,646,67503
20200403,7,14778
20200403,43,14532
20200403,2935,260520
20200403,91,38375
20200403,38,2303
20200403,22,17434
20200403,102,62115
20200403,15,2427
20200403,14,5566
20200403,31,6995
20200403,2,4780
20200403,37,37839
20200403,90,55764
20200403,7,24248
20200403,46,19005
20200403,,192
20200403,17,5228
20200403,325,80381
20200403,37,24289
20200403,2,6367
20200403,0,2866
20200402,3,5022
20200402,32,8736
20200402,12,8523
20200402,0,3
20200402,32,22709
20200402,203,33000
20200402,80,18645
20200402,112,18300
20200402,12,5070
20200402,12,4959
20200402,128,77296
20200402,163,22957
20200402,3,524
20200402,1,10464
20200402,11,8668
20200402,9,7282
20200402,157,43656
20200402,78,16285
20200402,13,6611
20200402,20,7900
20200402,310,51086
20200402,154,56608
20200402,36,21221
20200402,7,6464
20200402,417,44485
20200402,18,22394
20200402,19,19683
20200402,1,21
20200402,26,5930
20200402,5,5320
20200402,16,28679
20200402,3,4980
20200402,5,4224
20200402,4,6493
20200402,537,59110
20200402,6,14011
20200402,38,14046
20200402,2373,238965
20200402,81,34918
20200402,34,2144
20200402,21,16085
20200402,90,54714
20200402,12,1920
20200402,12,5069
20200402,31,6995
20200402,2,4382
20200402,32,34611
20200402,70,50679
20200402,7,21229
20200402,41,17589
20200402,,182
20200402,17,5049
20200402,296,75776
20200402,31,22047
20200402,2,5493
20200402,0,2589
20200401,3,4603
20200401,26,7774
20200401,10,7938
20200401,0,3
20200401,29,21058
20200401,171,29927
20200401,69,16849
20200401,85,16600
20200401,11,3848
20200401,11,4383
20200401,87,66484
20200401,139,20326
20200401,3,483
20200401,1,8929
20200401,9,7853
20200401,9,6601
20200401,141,40384
20200401,65,14375
20200401,10,5893
20200401,17,7556
20200401,273,45776
20200401,122,51738
20200401,31,19218
20200401,7,6432
20200401,337,40125
20200401,17,21191
20200401,18,17427
20200401,,6
20200401,22,4785
20200401,5,4918
20200401,10,26243
20200401,3,4493
20200401,4,3685
20200401,4,6400
20200401,355,52642
20200401,5,13240
20200401,26,12798
20200401,1941,220880
20200401,65,29539
20200401,30,1967
20200401,18,13872
20200401,74,48232
20200401,11,1695
20200401,10,4397
20200401,26,6326
20200401,2,4032
20200401,24,32452
20200401,58,47857
20200401,7,21167
20200401,34,15344
20200401,,156
20200401,16,4495
20200401,270,67159
20200401,24,20369
20200401,1,4575
20200401,0,2348
20200331,3,3713
20200331,13,7279
20200331,8,6482
20200331,0,3
20200331,24,19371
20200331,153,29254
20200331,51,15364
20200331,69,16157
20200331,9,3757
20200331,10,4015
20200331,77,60623
20200331,111,16181
20200331,2,440
20200331,,8675
20200331,7,7385
20200331,7,5712
20200331,99,35225
20200331,49,13373
20200331,9,5424
20200331,11,6810
20200331,239,38967
20200331,89,46935
20200331,18,16528
20200331,5,6391
20200331,259,35854
20200331,12,19780
20200331,14,15941
20200331,,2
20200331,20,4474
20200331,4,4418
20200331,8,23106
20200331,3,4257
20200331,3,3103
20200331,3,5727
20200331,267,45773
20200331,4,12527
20200331,17,11794
20200331,1550,205186
20200331,55,29191
20200331,23,1794
20200331,18,13826
20200331,63,42488
20200331,8,1434
20200331,8,3965
20200331,22,5699
20200331,1,3717
20200331,23,27360
20200331,41,42992
20200331,5,18513
20200331,27,13401
20200331,,156
20200331,13,4250
20200331,252,66596
20200331,16,18726
20200331,1,4143
20200331,0,2108
20200330,3,3654
20200330,6,6553
20200330,7,5735
20200330,0,0
20200330,20,16759
20200330,133,26996
20200330,51,15364
20200330,36,14600
20200330,9,3083
20200330,6,2480
20200330,63,53698
20200330,87,12724
20200330,1,410
20200330,,8000
20200330,6,6586
20200330,6,4706
20200330,73,30446
20200330,35,11658
20200330,8,4922
20200330,9,6018
20200330,185,34033
20200330,56,42793
20200330,15,14729
20200330,3,3669
20200330,184,32084
20200330,10,18822
20200330,13,14235
20200330,,2
20200330,16,3836
20200330,4,4314
20200330,6,20864
20200330,2,3837
20200330,2,2729
20200330,3,5700
20200330,198,41860
20200330,2,11179
20200330,15,11215
20200330,1218,186468
20200330,39,27275
20200330,17,1688
20200330,16,12883
20200330,49,37864
20200330,6,1105
20200330,4,3589
20200330,18,5085
20200330,1,3579
20200330,13,23304
20200330,34,35880
20200330,4,16003
20200330,25,12038
20200330,,156
20200330,12,3930
20200330,239,66132
20200330,14,17077
20200330,1,3110
20200330,0,1934
20200329,2,3334
20200329,4,4990
20200329,6,3453
20200329,0,0
20200329,17,13872
20200329,123,26257
20200329,44,13276
20200329,34,11900
20200329,5,2811
20200329,6,268
20200329,56,43316
20200329,80,12564
20200329,1,390
20200329,,7000
20200329,4,5349
20200329,5,4282
20200329,65,27762
20200329,32,9830
20200329,6,4513
20200329,9,5541
20200329,151,27871
20200329,48,39066
20200329,10,13593
20200329,3,3647
20200329,132,25686
20200329,9,17657
20200329,10,12385
20200329,,2
20200329,14,3318
20200329,1,4297
20200329,4,18945
20200329,1,3453
20200329,2,2076
20200329,2,4738
20200329,161,35602
20200329,2,11006
20200329,14,9150
20200329,965,172360
20200329,29,20665
