posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
113019,78,0,5666,1751,7417
5846,6,0,418,42,460
14296,6,0,1599,288,1887
28183,5,255,543,273,816
7647,0,2,411,89,500
62799,4,31,2722,228,2950
115718,27,0,8143,1441,9584
40762,4,15,2263,126,2389
35459,12,87,1966,467,2433
323,0,0,22,4,26
8232,1,0,0,51,51
93615,0,0,0,455,455
36293,17,61,1801,183,1984
14555,0,0,661,31,692
5056,0,3,816,90,906
7223,0,0,146,9,155
20827,8,19,1305,400,1705
14951,3,0,302,119,421
3,0,0,0,0,0
37178,9,0,2322,292,2614
163500,50,0,17884,1352,19236
29199,14,83,879,226,1105
33502,103,0,2463,2003,4466
8724,5,0,358,83,441
9890,7,0,1055,279,1334
152549,45,206,8506,909,9415
41085,17,166,1633,665,2298
721,0,0,31,3,34
15751,0,0,577,25,602
14973,2,0,882,125,1007
12531,3,20,611,22,633
80857,66,0,4447,1344,5791
32133,42,0,856,408,1264
10775,15,40,1055,206,1261
21801,8,0,0,197,197
86919,50,0,4260,1253,5513
94958,70,164,5296,2151,7447
41529,14,138,2411,656,3067
6648,2,4,0,23,23
67054,117,0,0,915,915
32294,11,22,1453,88,1541
38494,19,0,4172,212,4384
38,0,0,0,0,0
20892,9,31,0,257,257
7860,0,5,440,22,462
47809,12,0,4597,225,4822
8990,1,0,420,18,438
8683,2,0,674,48,722
9551,0,0,374,0,374
107192,196,0,3186,3590,6776
23807,3,0,1491,71,1562
21771,9,0,1067,138,1205
391549,799,2144,15775,10621,26396
55985,20,117,2280,364,2644
20279,1,25,6774,160,6934
25627,11,2,981,82,1063
105602,29,0,5075,1989,7064
5386,9,0,437,63,500
12409,8,0,0,277,277
27367,4,0,2493,240,2733
7147,0,1,345,54,399
59849,15,56,2959,272,3231
106134,22,0,8999,877,9876
38373,0,10,2127,130,2257
33026,34,70,1984,397,2381
297,0,0,9,1,10
8181,0,0,409,23,432
93160,0,0,0,263,263
34309,12,53,1309,129,1438
13863,1,0,1257,61,1318
4150,0,1,77,9,86
7068,1,4,142,13,155
19122,10,43,3956,250,4206
14530,2,-18,838,54,892
3,0,0,0,0,0
34564,7,0,1038,151,1189
144264,68,0,11943,1092,13035
28094,29,85,962,257,1219
29036,0,0,0,0,0
8283,5,0,231,229,460
8556,0,0,0,0,0
143134,13,63,4264,708,4972
38787,33,219,3991,1083,5074
687,0,0,33,4,37
15149,0,16,1584,23,1607
13966,1,0,1151,97,1248
11898,2,10,612,40,652
75066,82,0,4805,1529,6334
30869,30,0,1669,436,2105
9514,0,0,0,0,0
21604,6,0,1508,141,1649
81406,70,0,6005,746,6751
87511,77,148,4579,1588,6167
38462,21,104,5677,1158,6835
6625,2,2,0,18,18
66139,114,0,0,766,766
30753,5,29,1408,85,1493
34110,5,0,1851,290,2141
38,0,0,12,3,15
20635,8,33,0,88,88
7398,0,3,400,13,413
42987,7,0,1700,205,1905
8552,0,1,835,14,849
7961,2,0,631,72,703
9177,9,15,370,73,443
100416,272,0,2421,3021,5442
22245,1,0,312,108,420
20566,13,0,1696,231,1927
365153,779,2349,14642,10453,25095
53341,26,141,2137,366,2503
13345,12,14,0,52,52
24564,0,0,1499,58,1557
98538,69,0,5580,1680,7260
4886,1,0,300,47,347
12132,5,0,1605,220,1825
24634,12,0,819,135,954
6748,0,3,407,73,480
56618,7,41,3520,224,3744
96258,23,0,6518,1091,7609
36116,0,10,1361,108,1469
30645,12,52,1688,312,2000
287,0,0,20,2,22
7749,0,5,590,30,620
92897,53,0,0,463,463
32871,7,45,1603,178,1781
12545,0,0,436,50,486
4064,0,0,54,5,59
6913,0,0,8,22,30
14916,6,31,0,151,151
13638,0,11,722,71,793
3,0,0,0,0,0
33375,8,0,722,119,841
131229,31,0,12269,1529,13798
26875,10,70,880,222,1102
29036,71,0,1475,875,2350
7823,-2,0,256,114,370
8556,2,0,1307,255,1562
138162,60,317,13465,1423,14888
33713,100,442,935,1504,2439
650,0,0,24,8,32
13542,1,5,0,16,16
12718,1,14,1017,102,1119
11246,3,6,182,69,251
68732,73,0,4503,1287,5790
28764,34,0,2010,563,2573
9514,2,25,375,55,430
19955,14,0,1135,53,1188
74655,70,0,4072,1417,5489
81344,96,194,3550,1365,4915
31627,12,47,1684,326,2010
6607,2,7,0,20,20
65373,118,0,2430,973,3403
29260,4,19,1049,83,1132
31969,14,0,1819,315,2134
23,1,0,2,0,2
20547,8,-98,0,177,177
6985,0,4,175,20,195
41082,13,0,5,351,356
7703,1,1,478,12,490
7258,2,0,433,38,471
8734,0,11,318,46,364
94974,229,0,2616,3326,5942
21825,0,0,2627,62,2689
18639,12,0,876,134,1010
